get_lKn,get_RHSt,get_Kt,get_Zt,get_Ct,get_marg_ut,get_Ht,get_Yt,get_Rt
2.8984063,0.39619216,18.174126,1.0,1.5884556,0.39632353,0.58426744,2.0138855,0.039891813
2.89912,0.3961891,18.145203,1.0111301,1.5891613,0.3959716,0.5935418,2.0557492,0.040785972
2.9010005,0.39619932,18.158165,1.0162889,1.5894566,0.3958245,0.598402,2.0775843,0.041189753
2.9007747,0.39620152,18.192337,1.0060499,1.5888021,0.39615065,0.59,2.0395043,0.040358838
2.8977385,0.3961964,18.18823,0.99304456,1.5880152,0.39654335,0.57841015,1.9875786,0.039340183
2.897901,0.39618263,18.133091,1.00878,1.5890334,0.39603537,0.59120506,2.045308,0.040605925
2.8956113,0.39617798,18.136038,0.99736977,1.5883379,0.39638227,0.5811716,2.0002594,0.039705113
2.8932095,0.39616314,18.094563,0.99751854,1.5883934,0.39635453,0.58046216,1.9973474,0.039738186
2.8913598,0.3961485,18.051151,1.0007864,1.5886414,0.39623082,0.58245814,2.0065622,0.040017527
2.8888628,0.39613578,18.017794,0.99832606,1.5885291,0.39628685,0.5796138,1.9940395,0.039841406
2.8878114,0.39612344,17.97286,1.0057459,1.5890304,0.39603686,0.5852231,2.0194645,0.040450282
2.8882337,0.3961232,17.953972,1.0128276,1.589479,0.39581335,0.59107894,2.0459094,0.04102309
2.89039,0.3961364,17.961555,1.0206351,1.5899379,0.39558485,0.5981496,2.0777469,0.04164388
2.89285,0.3961513,18.000326,1.0214095,1.5899402,0.39558375,0.5996536,2.084285,0.041684948
2.894585,0.3961609,18.044662,1.017401,1.5896508,0.39572778,0.59702224,2.0721045,0.041339517
2.8939025,0.39616022,18.076,1.0057869,1.5889165,0.3960936,0.58737993,2.0284817,0.040399063
2.8963966,0.39617208,18.063662,1.020574,1.5898191,0.395644,0.60024214,2.0865247,0.041583426
2.8963466,0.39617357,18.108774,1.0081846,1.5890247,0.3960397,0.5901761,2.0408373,0.040571574
2.8942778,0.39616823,18.107868,0.99885184,1.5884597,0.39632145,0.58190745,2.0037332,0.03983594
2.8910122,0.39615405,18.070446,0.9938895,1.588199,0.3964516,0.57678187,1.9810448,0.039466437
2.8869772,0.39613292,18.011532,0.9912698,1.5881048,0.3964986,0.5732973,1.9658631,0.03929209
2.8837745,0.3961068,17.939001,0.9963451,1.5884975,0.39630258,0.57627475,1.9796122,0.039726872
2.8810925,0.39608717,17.88164,0.9997084,1.5887675,0.3961679,0.5780508,1.987917,0.040021505
2.8789883,0.39607167,17.833752,1.0031677,1.5890323,0.3960359,0.5800972,1.9973835,0.04032007
2.8745868,0.39605457,17.796259,0.99316585,1.5884653,0.39631864,0.5706048,1.9552163,0.039552014
2.8686962,0.39602634,17.718102,0.98757285,1.5882114,0.3964454,0.5641756,1.9271011,0.039155237
2.863588,0.39598775,17.614042,0.99300325,1.5886645,0.39621928,0.56676424,1.9392667,0.039635196
2.8639605,0.3959793,17.524292,1.0196309,1.5903795,0.39536524,0.5880264,2.0350149,0.041805137
