lKt,lZt
2.899999,0.0
2.8984063,0.011068601
2.8991203,0.016157575
2.9010005,0.00603164
2.9007747,-0.0069797696
2.8977385,0.00874173
2.897901,-0.0026336825
2.8956115,-0.0024845374
2.8932095,0.00078603067
2.8913598,-0.0016753846
2.8888628,0.0057293805
2.8878114,0.01274614
2.8882337,0.020425033
2.89039,0.021183524
2.89285,0.017251406
2.8945851,0.005770264
2.8939023,0.020365205
2.8963966,0.008151341
2.8963466,-0.0011487976
2.8942778,-0.0061292755
2.8910122,-0.00876848
2.8869772,-0.0036615785
2.8837745,-0.00029165205
2.8810928,0.0031627035
2.8789883,-0.0068576573
2.8745868,-0.012505015
2.8686965,-0.00702138
2.863588,0.019440603
2.8639605,0.027115054
2.8660958,0.035897423
2.8703854,0.021367047
2.871628,0.017740779
2.8721356,0.002241673
2.8692534,0.007961746
2.867437,0.020467442
2.868288,0.018974157
2.868858,0.0058082957
2.8665428,0.013161803
2.8657014,0.027002055
2.8679223,0.042138636
2.8737798,0.026044004
2.8762958,0.009894809
2.8753586,0.017978597
2.876157,0.014591813
2.876251,0.018940814
2.8773215,0.025342144
2.879902,0.026550502
2.8829181,0.0251388
2.8858032,0.029059444
2.889757,0.030297104
2.8942363,0.03176697
2.8993251,0.035983145
2.905687,0.047559172
2.9151096,0.04549029
2.9246023,0.04069872
2.9335396,0.016994512
2.9376729,0.004259567
2.9392848,-0.009366503
2.9381058,-0.006389558
2.9374812,-0.032549076
2.9314404,-0.02071546
2.9274342,-0.015652338
2.9242291,-0.022113249
2.919493,-0.031859055
2.9124763,-0.030355271
2.9053223,-0.019587716
2.899926,-0.01132503
2.8959165,-0.016739458
2.8905153,-0.006631132
2.8869035,-0.017486311
2.8807662,-0.02106091
2.8734825,-0.010888417
2.8678627,-0.0036523328
2.8634243,0.0022075155
2.859966,0.008851243
2.8577404,0.013369457
2.8563724,0.02916391
2.8584886,0.023505706
2.85945,0.022468671
2.8602388,0.025322631
2.8617268,0.037940413
2.8662138,0.045008108
2.8726375,0.041357018
2.8786068,0.032901064
2.882991,0.03403901
2.8879092,0.03898613
2.89427,0.013414336
2.8952434,0.03347748
2.9007843,0.02837497
2.9055011,0.014612719
2.9074316,-0.006604838
2.9048915,0.0031601111
2.9042845,-0.00779925
2.9012945,-0.012720246
2.8970778,-0.011521754
2.8928463,-0.018332241
2.8869157,-0.025671028
2.8790784,-0.032276955
2.8693695,-0.021028962
2.86134,-0.014830949
